Date,Accidents
2016-06-14,5
2016-06-17,4
2016-06-21,209
2016-06-22,319
2016-06-23,344
2016-06-24,219
2016-06-25,41
2016-06-26,72
2016-06-27,303
2016-06-28,285
2016-06-29,276
2016-06-30,272
2016-07-01,186
2016-07-02,55
2016-07-03,60
2016-07-04,192
2016-07-05,293
2016-07-06,228
2016-07-07,246
2016-07-08,258
2016-07-09,74
2016-07-10,71
2016-07-11,230
2016-07-12,202
2016-07-13,265
2016-07-14,253
2016-07-15,195
2016-07-16,83
2016-07-17,3
2016-07-18,172
2016-07-19,229
2016-07-20,272
2016-07-21,265
2016-07-22,303
2016-07-23,80
2016-07-24,80
2016-07-25,296
2016-07-26,340
2016-07-27,287
2016-07-28,301
2016-07-29,249
2016-07-30,97
2016-07-31,100
2016-08-01,319
2016-08-02,307
2016-08-03,154
2016-08-04,224
2016-08-05,316
2016-08-06,51
2016-08-07,40
2016-08-08,264
2016-08-09,282
2016-08-10,291
2016-08-11,255
2016-08-12,335
2016-08-13,80
2016-08-14,85
2016-08-15,317
2016-08-16,254
2016-08-17,297
2016-08-18,279
2016-08-19,266
2016-08-20,68
2016-08-21,59
2016-08-22,324
2016-08-23,287
2016-08-24,342
2016-08-25,275
2016-08-26,341
2016-08-27,116
2016-08-28,105
2016-08-29,348
2016-08-30,291
2016-08-31,317
2017-06-01,180
2017-06-02,219
2017-06-03,76
2017-06-04,77
2017-06-05,240
2017-06-06,203
2017-06-07,221
2017-06-08,274
2017-06-09,314
2017-06-10,110
2017-06-11,76
2017-06-12,286
2017-06-13,311
2017-06-14,308
2017-06-15,263
2017-06-16,238
2017-06-17,78
2017-06-18,86
2017-06-19,250
2017-06-20,260
2017-06-21,275
2017-06-22,256
2017-06-23,181
2017-06-24,54
2017-06-25,43
2017-06-26,247
2017-06-27,277
2017-06-28,297
2017-06-29,276
2017-06-30,257
2017-07-01,69
2017-07-02,51
2017-07-03,242
2017-07-04,148
2017-07-05,246
2017-07-06,211
2017-07-07,227
2017-07-08,68
2017-07-09,51
2017-07-10,253
2017-07-11,257
2017-07-12,305
2017-07-13,273
2017-07-14,261
2017-07-15,49
2017-07-16,38
2017-07-17,239
2017-07-18,210
2017-07-19,260
2017-07-20,223
2017-07-21,187
2017-07-22,52
2017-07-23,34
2017-07-24,224
2017-07-25,256
2017-07-26,253
2017-07-27,378
2017-07-28,441
2017-07-29,35
2017-07-30,76
2017-07-31,48
2017-08-01,317
2017-08-02,421
2017-08-03,421
2017-08-04,398
2017-08-05,34
2017-08-06,31
2017-08-07,336
2017-08-08,454
2017-08-09,319
2017-08-10,272
2017-08-11,346
2017-08-12,42
2017-08-13,57
2017-08-14,423
2017-08-15,377
2017-08-16,438
2017-08-17,397
2017-08-18,379
2017-08-19,63
2017-08-20,42
2017-08-21,408
2017-08-22,429
2017-08-23,458
2017-08-24,462
2017-08-25,402
2017-08-26,83
2017-08-27,46
2017-08-28,285
2017-08-29,270
2017-08-30,297
2017-08-31,364
2018-06-01,383
2018-06-02,80
2018-06-03,39
2018-06-04,325
2018-06-05,303
2018-06-06,380
2018-06-07,358
2018-06-08,333
2018-06-09,67
2018-06-10,47
2018-06-11,364
2018-06-12,291
2018-06-13,310
2018-06-14,321
2018-06-15,258
2018-06-16,166
2018-06-17,78
2018-06-18,324
2018-06-19,352
2018-06-20,250
2018-06-21,277
2018-06-22,240
2018-06-23,43
2018-06-24,23
2018-06-25,344
2018-06-26,309
2018-06-27,328
2018-06-28,282
2018-06-29,333
2018-06-30,54
2018-07-01,40
2018-07-02,290
2018-07-03,341
2018-07-04,182
2018-07-05,285
2018-07-06,285
2018-07-07,108
2018-07-08,38
2018-07-09,263
2018-07-10,271
2018-07-11,247
2018-07-12,271
2018-07-13,240
2018-07-14,68
2018-07-15,4
2018-07-16,227
2018-07-17,238
2018-07-18,295
2018-07-19,279
2018-07-20,294
2018-07-21,102
2018-07-22,49
2018-07-23,270
2018-07-24,294
2018-07-25,243
2018-07-26,223
2018-07-27,254
2018-07-28,60
2018-07-29,28
2018-07-30,306
2018-07-31,323
2018-08-01,283
2018-08-02,314
2018-08-03,308
2018-08-04,46
2018-08-05,33
2018-08-06,299
2018-08-07,320
2018-08-08,280
2018-08-09,320
2018-08-10,308
2018-08-11,101
2018-08-12,78
2018-08-13,289
2018-08-14,335
2018-08-15,291
2018-08-16,306
2018-08-17,297
2018-08-18,112
2018-08-19,97
2018-08-20,328
2018-08-21,327
2018-08-22,284
2018-08-23,298
2018-08-24,281
2018-08-25,81
2018-08-26,61
2018-08-27,345
2018-08-28,277
2018-08-29,347
2018-08-30,404
2018-08-31,412
2019-06-01,81
2019-06-02,65
2019-06-03,261
2019-06-04,305
2019-06-05,227
2019-06-06,325
2019-06-07,299
2019-06-08,88
2019-06-09,27
2019-06-10,239
2019-06-11,335
2019-06-12,357
2019-06-13,246
2019-06-14,259
2019-06-15,88
2019-06-16,72
2019-06-17,275
2019-06-18,352
2019-06-19,266
2019-06-20,353
2019-06-21,277
2019-06-22,61
2019-06-23,56
2019-06-24,390
2019-06-25,311
2019-06-26,314
2019-06-27,217
2019-06-28,310
2019-06-29,105
2019-06-30,66
2019-07-01,238
2019-07-02,244
2019-07-03,275
2019-07-04,152
2019-07-05,207
2019-07-06,41
2019-07-07,50
2019-07-08,227
2019-07-09,276
2019-07-10,253
2019-07-11,230
2019-07-12,257
2019-07-13,64
2019-07-14,32
2019-07-15,305
2019-07-16,249
2019-07-17,260
2019-07-18,237
2019-07-19,301
2019-07-20,62
2019-07-21,62
2019-07-22,306
2019-07-23,293
2019-07-24,378
2019-07-25,318
2019-07-26,247
2019-07-27,77
2019-07-28,50
2019-07-29,246
2019-07-30,296
2019-07-31,322
2019-08-01,359
2019-08-02,272
2019-08-03,111
2019-08-04,90
2019-08-05,247
2019-08-06,283
2019-08-07,232
2019-08-08,255
2019-08-09,296
2019-08-10,63
2019-08-11,65
2019-08-12,333
2019-08-13,332
2019-08-14,343
2019-08-15,303
2019-08-16,327
2019-08-17,80
2019-08-18,70
2019-08-19,248
2019-08-20,343
2019-08-21,249
2019-08-22,357
2019-08-23,279
2019-08-25,54
2019-08-26,368
2019-08-27,392
2019-08-28,300
2019-08-29,270
2019-08-30,379
2019-08-31,71
2020-06-01,179
2020-06-02,214
2020-06-03,179
2020-06-04,217
2020-06-05,238
2020-06-06,67
2020-06-07,63
2020-06-08,234
2020-06-09,240
2020-06-10,282
2020-06-11,302
2020-06-12,293
2020-06-13,98
2020-06-14,80
2020-06-15,213
2020-06-16,259
2020-06-17,236
2020-06-18,248
2020-06-19,208
2020-06-20,128
2020-06-21,71
2020-06-22,299
2020-06-23,249
2020-06-24,249
2020-06-25,288
2020-06-26,265
2020-06-27,116
2020-06-28,89
2020-06-29,159
2020-06-30,107
