Model,Category,ReportType,Precision,Recall,F1,Support
GBC,All,No-Accident,0.8371,0.9358,0.8837,4795
GBC,All,Accident,0.6008,0.3468,0.4397,1337
GBC,All,MacroAvg,0.719,0.6413,0.6617,6132
GBC,All,WeightedAvg,0.7856,0.8073,0.7869,6132
GBC,traffic,No-Accident,0.8041,0.9655,0.8774,4795
GBC,traffic,Accident,0.5587,0.1563,0.2442,1337
GBC,traffic,MacroAvg,0.6814,0.5609,0.5608,6132
GBC,traffic,WeightedAvg,0.7506,0.7891,0.7394,6132
GBC,time,No-Accident,0.782,1.0,0.8776,4795
GBC,time,Accident,0.0,0.0,0.0,1337
GBC,time,MacroAvg,0.391,0.5,0.4388,6132
GBC,time,WeightedAvg,0.6115,0.782,0.6863,6132
GBC,weather,No-Accident,0.7852,0.9728,0.8689,4795
GBC,weather,Accident,0.3279,0.0454,0.0783,1337
GBC,weather,MacroAvg,0.5565,0.5091,0.4736,6132
GBC,weather,WeightedAvg,0.6855,0.7706,0.6966,6132
GBC,geohash,No-Accident,0.825,0.9422,0.8797,4795
GBC,geohash,Accident,0.5777,0.2835,0.3802,1337
GBC,geohash,MacroAvg,0.7014,0.6128,0.63,6132
GBC,geohash,WeightedAvg,0.7711,0.7985,0.7708,6132
GBC,NLP,No-Accident,0.824,0.9417,0.8789,4795
GBC,NLP,Accident,0.5719,0.2785,0.374,1337
GBC,NLP,MacroAvg,0.6979,0.6101,0.6265,6132
GBC,NLP,WeightedAvg,0.769,0.7971,0.7688,6132
